game_name,mean_happiness_checking_duration,percent_of_runs_not_ended_in_100_timesteps,mean_time_to_equilibrium,variance_between_time_to_equilibriums,mean_number_of_unhappy,variance_in_unhappiness_between_timesteps,variance_in_unhappiness_between_games,entropy_of_final_table_populations,variance_of_table_population_entropies,average_minority_percent
default_game,6.77E-05,0,4.849,4.558757758,5.214299019,29.06447123,273.9761821,1.307355301,0.027409288,0
game1,3.38E-05,1,,,10,101.010101,2.02E-28,,,
game2,0.000190855,1,,,9.02406,14.50275313,11.86650469,,,
game3,3.85E-05,0.084,6.861353712,60.47802396,2.826505113,2.794369126,3.828187202,1.239290678,0.054872445,0.366258597
game4,5.34E-05,0.001,4.337337337,28.01735202,2.379484444,4.95063067,28.38174037,1.446129452,0.015942911,0.19559677
game5,3.66E-05,1,,,9.9895,4.980506061,0.472486329,,,
addition_only_hobbies,0.000146398,1,,,9.08903,0.066198283,0.007656104,,,
addition_only_heights,0.000496907,0.1,4.147777778,10.91362131,1.945558961,4.984125301,19.34925289,1.287621995,0.03685514,0.126153948
addition_only_birth_month,5.43E-05,0.988,13.25,47.47727273,4.283192516,3.165578964,6.548243828,1.330493499,0.020247706,0.296785714
addition_only_favourite_colour,5.18E-05,0.848,8.546052632,27.61375915,2.21520449,2.374881551,14.2850968,1.294440707,0.0386478,0.279556555
